EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Meteorological - Hydrological,Drought,Edmonton AB,1/1/1914 0:00,"Prairie Provinces, 1914. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1914 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Saskatoon SK,1/1/1914 0:00,"Prairie Provinces, 1914. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1914 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Regina SK,1/1/1914 0:00,"Prairie Provinces, 1914. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1914 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Winnipeg MB,1/1/1917 0:00,"Prairie Provinces, 1917. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1917 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Calgary AB,1/1/1917 0:00,"Prairie Provinces, 1917. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1917 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Edmonton AB,1/1/1917 0:00,"Prairie Provinces, 1917. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1917 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Saskatoon SK,1/1/1917 0:00,"Prairie Provinces, 1917. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1917 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Regina SK,1/1/1917 0:00,"Prairie Provinces, 1917. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1917 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Winnipeg MB,1/1/1918 0:00,"Prairie Provinces, 1918. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,12/31/1918 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Calgary AB,1/1/1918 0:00,"Prairie Provinces, 1918. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,12/31/1918 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Edmonton AB,1/1/1918 0:00,"Prairie Provinces, 1918. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,12/31/1918 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Saskatoon SK,1/1/1918 0:00,"Prairie Provinces, 1918. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,12/31/1918 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Regina SK,1/1/1918 0:00,"Prairie Provinces, 1918. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,12/31/1918 0:00,,,,,,,,0,0
Incident,Technology,Transportation accident,Marine,Vancouver BC,10/23/1918 0:00,"West coast BC, October 23, 1918. 343 dead: the CP steamship ""Princess Sophia"", carrying miners from Yukon and Alaska, became stranded on Vanderbilt Reef.  Rescuers were unable to remove the 268 passengers and 75 crewmen due to a strong northerly gale.  The next day, weather conditions worsened and the ship sank, killing all on board.",343,0,0,,,10/23/1918 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Winnipeg MB,1/1/1919 0:00,"Prairie Provinces, 1919. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,12/31/1919 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Calgary AB,1/1/1919 0:00,"Prairie Provinces, 1919. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,12/31/1919 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Edmonton AB,1/1/1919 0:00,"Prairie Provinces, 1919. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,12/31/1919 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Saskatoon SK,1/1/1919 0:00,"Prairie Provinces, 1919. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,12/31/1919 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Regina SK,1/1/1919 0:00,"Prairie Provinces, 1919. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,12/31/1919 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Winnipeg MB,1/1/1920 0:00,"Prairie Provinces, 1920. Cereal crop drought occurred in parts of the Prairies. Alberta communities were hardest hit.",0,0,0,0,0,12/31/1920 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Calgary AB,1/1/1920 0:00,"Prairie Provinces, 1920. Cereal crop drought occurred in parts of the Prairies. Alberta communities were hardest hit.",0,0,0,0,0,12/31/1920 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Edmonton AB,1/1/1920 0:00,"Prairie Provinces, 1920. Cereal crop drought occurred in parts of the Prairies. Alberta communities were hardest hit.",0,0,0,0,0,12/31/1920 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Saskatoon SK,1/1/1920 0:00,"Prairie Provinces, 1920. Cereal crop drought occurred in parts of the Prairies. Alberta communities were hardest hit.",0,0,0,0,0,12/31/1920 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Regina SK,1/1/1920 0:00,"Prairie Provinces, 1920. Cereal crop drought occurred in parts of the Prairies. Alberta communities were hardest hit.",0,0,0,0,0,12/31/1920 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Lethbridge AB,5/14/1986 0:00,"Southern Alberta, May 14-15, 1986. A 2-day storm, described as the worst spring storm in living memory in Alberta, brought knee-deep snow and 80 km/h winds; dozens of communities were left without services.",0,0,0,,,5/15/1986 0:00,0,0,,,,,,18270270,0
Disaster,Natural,Meteorological - Hydrological,Flood,Calgary AB,7/16/1986 0:00,"Saskatchewan and Alberta, July 16-24, 1986.  A flood occurred on the North Saskatchewan River, several of its tributaries and on tributaries of the Athabasca River.  On July 22 and 24, Battleford and Prince Albert respectively experienced flooding. The floods resulted from heavy precipitation in the mountains, foothills and Great Plains regions, compounded by high antecedent soil moisture conditions.  Crops were destroyed and farm buildings were damaged.  Hundreds of homes were flooded and severe erosion occurred in some communities causing road and bridge damage and several washouts.  The extensive flooding also caused an overflow in several municipal sewer systems leading to sewer collapse. The event resulted in one death. Refer to the Alberta entry for more information on this weather system.",1,0,0,17889807,1636262.8,7/24/1986 0:00,9484477,8405330,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Edmonton AB,7/16/1986 0:00,"Saskatchewan and Alberta, July 16-24, 1986.  A flood occurred on the North Saskatchewan River, several of its tributaries and on tributaries of the Athabasca River.  On July 22 and 24, Battleford and Prince Albert respectively experienced flooding. The floods resulted from heavy precipitation in the mountains, foothills and Great Plains regions, compounded by high antecedent soil moisture conditions.  Crops were destroyed and farm buildings were damaged.  Hundreds of homes were flooded and severe erosion occurred in some communities causing road and bridge damage and several washouts.  The extensive flooding also caused an overflow in several municipal sewer systems leading to sewer collapse. The event resulted in one death. Refer to the Alberta entry for more information on this weather system.",1,0,0,17889807,1636262.8,7/24/1986 0:00,9484477,8405330,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saskatoon SK,7/16/1986 0:00,"Saskatchewan and Alberta, July 16-24, 1986.  A flood occurred on the North Saskatchewan River, several of its tributaries and on tributaries of the Athabasca River.  On July 22 and 24, Battleford and Prince Albert respectively experienced flooding. The floods resulted from heavy precipitation in the mountains, foothills and Great Plains regions, compounded by high antecedent soil moisture conditions.  Crops were destroyed and farm buildings were damaged.  Hundreds of homes were flooded and severe erosion occurred in some communities causing road and bridge damage and several washouts.  The extensive flooding also caused an overflow in several municipal sewer systems leading to sewer collapse. The event resulted in one death. Refer to the Alberta entry for more information on this weather system.",1,0,0,17889807,1636262.8,7/24/1986 0:00,9484477,8405330,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Regina SK,7/16/1986 0:00,"Saskatchewan and Alberta, July 16-24, 1986.  A flood occurred on the North Saskatchewan River, several of its tributaries and on tributaries of the Athabasca River.  On July 22 and 24, Battleford and Prince Albert respectively experienced flooding. The floods resulted from heavy precipitation in the mountains, foothills and Great Plains regions, compounded by high antecedent soil moisture conditions.  Crops were destroyed and farm buildings were damaged.  Hundreds of homes were flooded and severe erosion occurred in some communities causing road and bridge damage and several washouts.  The extensive flooding also caused an overflow in several municipal sewer systems leading to sewer collapse. The event resulted in one death. Refer to the Alberta entry for more information on this weather system.",1,0,0,17889807,1636262.8,7/24/1986 0:00,9484477,8405330,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Lethbridge AB,6/28/1988 0:00,"Central and Southern AB, June 28-29, 1988.",0,0,0,,,6/29/1988 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Heat Event,Winnipeg MB,7/5/1988 0:00,"Central and Southern ON and Manitoba, July 5-11, 1988; 14 elderly people died in Ontario of heat related factors.   Toronto on July 7 had a high of 37.2°C (hottest day since 1953). Six afternoon highs >35°C; air pollution levels soared, power and water consumption soared to record levels.  On July 28 rotating black-outs eased the power drain with the potential of a complete power failure.  Ice companies were overwhelmed with order and quickly sold out.  Great Lakes water levels the lowest in more than a decade, with an expected further drop of 12.5 cm. Manitoba Hydro losses were $100 million in 1988; QB hydro cut sales to ON and US by 25%.",14,0,0,,,7/11/1988 0:00,0,0,,,,,,128169014,0
Disaster,Natural,Meteorological - Hydrological,Heat Event,Toronto ON,7/5/1988 0:00,"Central and Southern ON and Manitoba, July 5-11, 1988; 14 elderly people died in Ontario of heat related factors.   Toronto on July 7 had a high of 37.2°C (hottest day since 1953). Six afternoon highs >35°C; air pollution levels soared, power and water consumption soared to record levels.  On July 28 rotating black-outs eased the power drain with the potential of a complete power failure.  Ice companies were overwhelmed with order and quickly sold out.  Great Lakes water levels the lowest in more than a decade, with an expected further drop of 12.5 cm. Manitoba Hydro losses were $100 million in 1988; QB hydro cut sales to ON and US by 25%.",14,0,0,,,7/11/1988 0:00,0,0,,,,,,128169014,0
Disaster,Natural,Meteorological - Hydrological,Heat Event,Ottawa ON,7/5/1988 0:00,"Central and Southern ON and Manitoba, July 5-11, 1988; 14 elderly people died in Ontario of heat related factors.   Toronto on July 7 had a high of 37.2°C (hottest day since 1953). Six afternoon highs >35°C; air pollution levels soared, power and water consumption soared to record levels.  On July 28 rotating black-outs eased the power drain with the potential of a complete power failure.  Ice companies were overwhelmed with order and quickly sold out.  Great Lakes water levels the lowest in more than a decade, with an expected further drop of 12.5 cm. Manitoba Hydro losses were $100 million in 1988; QB hydro cut sales to ON and US by 25%.",14,0,0,,,7/11/1988 0:00,0,0,,,,,,128169014,0
Disaster,Natural,Meteorological - Hydrological,Drought,Winnipeg MB,1/1/1989 0:00,"Prairie Provinces, 1989. Cereal crop drought occurred in parts of the Prairies; severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1989 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Calgary AB,1/1/1989 0:00,"Prairie Provinces, 1989. Cereal crop drought occurred in parts of the Prairies; severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1989 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Edmonton AB,1/1/1989 0:00,"Prairie Provinces, 1989. Cereal crop drought occurred in parts of the Prairies; severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1989 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Saskatoon SK,1/1/1989 0:00,"Prairie Provinces, 1989. Cereal crop drought occurred in parts of the Prairies; severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1989 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Regina SK,1/1/1989 0:00,"Prairie Provinces, 1989. Cereal crop drought occurred in parts of the Prairies; severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1989 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Halifax NS,9/10/1989 0:00,"Nova Scotia, September 10, 1989. Hurricane ""Gabrielle"" battered the coast of Nova Scotia with 6 to 9 metre swells and winds gusting to 150 km/h; one man was killed when a huge wave swept him into the ocean.",1,0,0,,,9/10/1989 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,St John's NL,12/9/1990 0:00,"Newfoundland, December 9, 1990. Heavy rain caused this damaging flood.  Up to 100 millemetres of rain fell on the area, forcing the closure of highways, flooding homes and damaging bridges.",0,0,0,2327777,178146.2,12/9/1990 0:00,1029958,1297819,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Winnipeg MB,1/1/1990 0:00,"Prairie Provinces, 1990. Cereal crop drought occurred in parts of the Prairies.",0,0,0,581891545,44532516.2,1/1/1990 0:00,,,204155713,,377735832,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Calgary AB,1/1/1990 0:00,"Prairie Provinces, 1990. Cereal crop drought occurred in parts of the Prairies.",0,0,0,581891545,44532516.2,1/1/1990 0:00,,,204155713,,377735832,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Edmonton AB,1/1/1990 0:00,"Prairie Provinces, 1990. Cereal crop drought occurred in parts of the Prairies.",0,0,0,581891545,44532516.2,1/1/1990 0:00,,,204155713,,377735832,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Saskatoon SK,1/1/1990 0:00,"Prairie Provinces, 1990. Cereal crop drought occurred in parts of the Prairies.",0,0,0,581891545,44532516.2,1/1/1990 0:00,,,204155713,,377735832,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Regina SK,1/1/1990 0:00,"Prairie Provinces, 1990. Cereal crop drought occurred in parts of the Prairies.",0,0,0,581891545,44532516.2,1/1/1990 0:00,,,204155713,,377735832,,,0,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Toronto ON,8/29/1990 0:00,"Southern Ontario, August 29, 1990. Tornadoes, high winds and thunderstorms caused crop damage and the destruction of several buildings in the communities of Lobo, Komoka, Frome, Port Stanley, Southwold and Kendall; 6 minor injuries were reported.",0,6,0,792167,60625,8/29/1990 0:00,,,511000,281167,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Ottawa ON,8/29/1990 0:00,"Southern Ontario, August 29, 1990. Tornadoes, high winds and thunderstorms caused crop damage and the destruction of several buildings in the communities of Lobo, Komoka, Frome, Port Stanley, Southwold and Kendall; 6 minor injuries were reported.",0,6,0,792167,60625,8/29/1990 0:00,,,511000,281167,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saskatoon SK,6/17/2010 0:00,"Southern Alberta and Saskatchewan, June 17, 2010. Record rainfall resulted in extensive flooding in Alberta and Saskatchewan, washing out a portion of the Trans-Canada highway and shutting down part of the Canadian Pacific rail line. Fourty people from the Blood Tribe reserve, 75 homes in Maple Creek, and 600 households in Medicine Hat were forced to evacuate. Disaster financial assistance was provided by both provinces.",0,0,2065,1031670000,53133218.9,6/17/2010 0:00,75320000,,206350000,,750000000,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Regina SK,6/17/2010 0:00,"Southern Alberta and Saskatchewan, June 17, 2010. Record rainfall resulted in extensive flooding in Alberta and Saskatchewan, washing out a portion of the Trans-Canada highway and shutting down part of the Canadian Pacific rail line. Fourty people from the Blood Tribe reserve, 75 homes in Maple Creek, and 600 households in Medicine Hat were forced to evacuate. Disaster financial assistance was provided by both provinces.",0,0,2065,1031670000,53133218.9,6/17/2010 0:00,75320000,,206350000,,750000000,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Lethbridge AB,6/17/2010 0:00,"Southern Alberta and Saskatchewan, June 17, 2010. Record rainfall resulted in extensive flooding in Alberta and Saskatchewan, washing out a portion of the Trans-Canada highway and shutting down part of the Canadian Pacific rail line. Fourty people from the Blood Tribe reserve, 75 homes in Maple Creek, and 600 households in Medicine Hat were forced to evacuate. Disaster financial assistance was provided by both provinces.",0,0,2065,1031670000,53133218.9,6/17/2010 0:00,75320000,,206350000,,750000000,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Winnipeg MB,1/1/1991 0:00,"Prairie Provinces, 1991. Severe and widespread surface water droughts reported on the Prairies.",0,0,0,146557019,10620073.8,1/1/1991 0:00,,,115360,,146441659,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Calgary AB,1/1/1991 0:00,"Prairie Provinces, 1991. Severe and widespread surface water droughts reported on the Prairies.",0,0,0,146557019,10620073.8,1/1/1991 0:00,,,115360,,146441659,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Edmonton AB,1/1/1991 0:00,"Prairie Provinces, 1991. Severe and widespread surface water droughts reported on the Prairies.",0,0,0,146557019,10620073.8,1/1/1991 0:00,,,115360,,146441659,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Saskatoon SK,1/1/1991 0:00,"Prairie Provinces, 1991. Severe and widespread surface water droughts reported on the Prairies.",0,0,0,146557019,10620073.8,1/1/1991 0:00,,,115360,,146441659,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Regina SK,1/1/1991 0:00,"Prairie Provinces, 1991. Severe and widespread surface water droughts reported on the Prairies.",0,0,0,146557019,10620073.8,1/1/1991 0:00,,,115360,,146441659,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Halifax NS,10/25/1991 0:00,"Maritime Provinces, especially Nova Scotia, October 25 - November 3, 1991. The ""Halloween Storm"" of 1991, was produced by two hurricanes: ""Grace"" and an unnamed storm over the north Atlantic; on the Scotian slope the highest wave in the world ever recorded by an instrument was measured as 30.7 metres.",0,0,0,0,0,11/3/1991 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Moncton NB,10/25/1991 0:00,"Maritime Provinces, especially Nova Scotia, October 25 - November 3, 1991. The ""Halloween Storm"" of 1991, was produced by two hurricanes: ""Grace"" and an unnamed storm over the north Atlantic; on the Scotian slope the highest wave in the world ever recorded by an instrument was measured as 30.7 metres.",0,0,0,0,0,11/3/1991 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Charlottetown PE,10/25/1991 0:00,"Maritime Provinces, especially Nova Scotia, October 25 - November 3, 1991. The ""Halloween Storm"" of 1991, was produced by two hurricanes: ""Grace"" and an unnamed storm over the north Atlantic; on the Scotian slope the highest wave in the world ever recorded by an instrument was measured as 30.7 metres.",0,0,0,0,0,11/3/1991 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other,Barrie ON,11/30/1991 0:00,"Central Ontario, November 30, 1991.",0,0,0,5982309,433500.7,11/30/1991 0:00,0,0,,,,5982309,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Winnipeg MB,1/1/1992 0:00,"Prairie Provinces, 1992. Livestock yields were low in northern Alberta and Saskatchewan due to dry conditions; severe and widespread surface water droughts reported on the Prairies; coldest July since 1884.",0,0,0,580597523,41471251.6,1/1/1992 0:00,,,135289,,580462234,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Calgary AB,1/1/1992 0:00,"Prairie Provinces, 1992. Livestock yields were low in northern Alberta and Saskatchewan due to dry conditions; severe and widespread surface water droughts reported on the Prairies; coldest July since 1884.",0,0,0,580597523,41471251.6,1/1/1992 0:00,,,135289,,580462234,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Edmonton AB,1/1/1992 0:00,"Prairie Provinces, 1992. Livestock yields were low in northern Alberta and Saskatchewan due to dry conditions; severe and widespread surface water droughts reported on the Prairies; coldest July since 1884.",0,0,0,580597523,41471251.6,1/1/1992 0:00,,,135289,,580462234,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Saskatoon SK,1/1/1992 0:00,"Prairie Provinces, 1992. Livestock yields were low in northern Alberta and Saskatchewan due to dry conditions; severe and widespread surface water droughts reported on the Prairies; coldest July since 1884.",0,0,0,580597523,41471251.6,1/1/1992 0:00,,,135289,,580462234,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Regina SK,1/1/1992 0:00,"Prairie Provinces, 1992. Livestock yields were low in northern Alberta and Saskatchewan due to dry conditions; severe and widespread surface water droughts reported on the Prairies; coldest July since 1884.",0,0,0,580597523,41471251.6,1/1/1992 0:00,,,135289,,580462234,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Halifax NS,2/1/1992 0:00,"Maritime Provinces, February 1-4, 1992.  A 110-hour-long blizzard with gusts up to 140 km/h brought record snowfall of 163 cm to Moncton, New Brunswick; several other cities recorded more than 100 cm of snow; traffic was brought to a standstill; many stranded motorists had to be rescued, and many schools and businesses throughout the Maritimes were closed in the aftermath.",0,0,0,0,0,2/4/1992 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Moncton NB,2/1/1992 0:00,"Maritime Provinces, February 1-4, 1992.  A 110-hour-long blizzard with gusts up to 140 km/h brought record snowfall of 163 cm to Moncton, New Brunswick; several other cities recorded more than 100 cm of snow; traffic was brought to a standstill; many stranded motorists had to be rescued, and many schools and businesses throughout the Maritimes were closed in the aftermath.",0,0,0,0,0,2/4/1992 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Charlottetown PE,2/1/1992 0:00,"Maritime Provinces, February 1-4, 1992.  A 110-hour-long blizzard with gusts up to 140 km/h brought record snowfall of 163 cm to Moncton, New Brunswick; several other cities recorded more than 100 cm of snow; traffic was brought to a standstill; many stranded motorists had to be rescued, and many schools and businesses throughout the Maritimes were closed in the aftermath.",0,0,0,0,0,2/4/1992 0:00,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Cold Event,Toronto ON,1/1/1992 0:00,"Prairie Provinces and Ontario, Summer 1992.  Unseasonable snow and frost during the months of June, July, and August caused massive damage to agricultural crops.",0,0,0,2000000,142857.1,1/1/1992 0:00,,,2000000,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Cold Event,Ottawa ON,1/1/1992 0:00,"Prairie Provinces and Ontario, Summer 1992.  Unseasonable snow and frost during the months of June, July, and August caused massive damage to agricultural crops.",0,0,0,2000000,142857.1,1/1/1992 0:00,,,2000000,,,,,0,0
Disaster,Natural,Biological,Epidemic,Moncton NB,1/1/1993 0:00,"PVYN Potato Virus, Prince Edward Island and New Brunswick, 1993. Potato crops were affected.",0,0,0,,,1/1/1993 0:00,,,,,,,,0,0
Disaster,Natural,Biological,Epidemic,Charlottetown PE,1/1/1993 0:00,"PVYN Potato Virus, Prince Edward Island and New Brunswick, 1993. Potato crops were affected.",0,0,0,,,1/1/1993 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Winnipeg MB,1/1/1993 0:00,"Prairie Provinces, 1993. Severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1993 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Calgary AB,1/1/1993 0:00,"Prairie Provinces, 1993. Severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1993 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Edmonton AB,1/1/1993 0:00,"Prairie Provinces, 1993. Severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1993 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Saskatoon SK,1/1/1993 0:00,"Prairie Provinces, 1993. Severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1993 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Regina SK,1/1/1993 0:00,"Prairie Provinces, 1993. Severe and widespread surface water droughts reported on the Prairies.",0,0,0,0,0,1/1/1993 0:00,,,,,,,,0,0
